title,url,is_daily_report,paragraph_index,paragraph
Daily report for 10 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-10dec2023,True,69,"By the end of the day, one thing was clear: the issue of just transition pathways took hold of the climate process, maybe not in the discussions on that work programme, as a delegate noted, but it increasingly featured in discussions on the GST and on the alignment of finance flows. "
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,0,"Delegates were left hanging in a waiting game for most of the day, as discussions were largely conducted behind closed doors. The first part of the governing bodies’ closing plenary brought only little new decisions and little relief. The new text on the Global Stocktake (GST) was met with deep concern and considered “utterly insufficient.” Many felt the text does not live up to the 1.5°C target as the “North star” of the meeting, and even goes back on ambition."
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,1,COP Plenary
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,2,"In the evening, COP 28 President Al Jaber opened the first part of the closing plenary of the 28th meeting of the Conference of the Parties (COP) to the UN Framework Convention on Climate Change (UNFCCC) and told parties that the “time for decisions is now.” He recalled that the “Changemakers Majlis” he convened on Sunday, 10 December, had brought a new tone and spirit of cooperation, and encouraged parties to work collaboratively to keep 1.5°C in reach. He then invited the COP to adopt a number of decisions."
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,3,Report on credentials: The COP adopted the report on credentials (FCCC/CP/2023/10-FCCC/KP/CMP/2023/8-FCCC/PA/CMA/2023/14).
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,4,"Rules of procedure: Al Jaber noted that agreement had not been reached on this item and the COP would continue to apply the draft rules of procedure (FCCC/CP/1996/2), with the exception of draft rule 42 (voting)."
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,5,"Dates and venues of future sessions: Parties adopted a decision (FCCC/CP/2023/L.4) accepting Azerbaijan’s offer to host COP 29 from Monday, 11 November, to Friday, 22 November 2024, and Brazil’s offer to host COP 30 from Monday, 10 November, to Friday, 21 November 2025."
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,6,"Mukhtar Babayev, Minister of Ecology and Natural Resources, AZERBAIJAN, extended appreciation to the Eastern European region for endorsing their offer to host COP 29."
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,7,"Marina Silva, Minister of Environment and Climate Change, BRAZIL, said COP 30 will be held in Belém, noting the symbolism of having the conference take place in the Amazon. She emphasized leaving COP 28 with tangible results that lead to a new energy matrix characterized by a sharp increase in renewable energy and concomitant reduction in the dependence on fossil fuels, noting the need to bring means of implementation in line with mitigation ambition."
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,8,Reports of the subsidiary bodies: The COP took note of the reports of SBSTA 58 (FCCC/SBSTA/2023/4/Add.1) and SBI 58 (FCCC/SBI/2023/10/Add.1) and adopted a decision on the Sixth Assessment Report of the Intergovernmental Panel on Climate Change (IPCC) (FCCC/SBSTA/2023/4/Add.1) and a decision on linkages between the Technological Mechanism and the Financial Mechanism (FCCC/SBI/2023/10/Add.1).
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,9,"Reporting from and review of Parties included in Annex I to the Convention: Al Jaber noted that the SBI could not complete its work on this matter, which will be included on the provisional agenda for SBI 60."
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,10,"Reporting from Parties not included in Annex I to the Convention: Al Jaber noted that the SBI could not complete its work on this matter, which will be included on the provisional agenda for SBI 60."
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,11,"Report of the Adaptation Committee and review of the progress, effectiveness and performance of the Adaptation Committee: Al Jaber noted that the SBI could not complete its work on this matter, which will be included on the provisional agenda for SBI 60."
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,12,Joint annual report of the Technology Executive Committee and the Climate Technology Centre and Network: The COP adopted a decision (FCCC/SB/2023/L.9).
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,13,Capacity building under the Convention: The COP adopted a decision forwarded by SBI 59 (FCCC/SBI/2023/L.18) and a decision forwarded by SBI 58 on the terms of reference for the second review of the Paris Committee on Capacity-building (FCCC/SBI/2023/10/Add.1).
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,14,Matters relating to the least developed countries: Al Jaber indicated that the SBI adopted conclusions (FCCC/SBI/2023/L.24).
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,15,Gender: The COP adopted a decision (FCCC/SBI/2023/L.17).
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,16,"Administrative, financial, and institutional matters: Budgetary, financial, and institutional matters: The COP adopted two decisions forwarded by SBI 58 contained in FCCC/SBI/2023/10/Add.1: one on administrative, financial, and institutional matters, and one on the budget for the international transaction log. The COP also adopted a decision forwarded by SBI 59 (FCCC/SBI/2023/L.14/), as amended orally during the SBI’s closing plenary with regard to removing a reference to the report on the policy and criteria for engagement and collaboration with non-party stakeholders (FCCC/SBI/2023/INF.12/Rev.1)."
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,17,Decision making in the UNFCCC process: Al Jaber noted no agreement was reached during Presidency consultations on this matter. The matter will therefore be included on the provisional agenda of COP 29.
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,18,CMP Plenary
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,19,Report on credentials: The CMP adopted the report on credentials (FCCC/CP/2023/10-FCCC/KP/CMP/2023/8-FCCC/PA/CMA/2023/14).
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,20,Reports of the Subsidiary Bodies: The CMP took note of the report of the administrator of the international transaction log under the Kyoto Protocol (FCCC/KP/CMP/2023/6).
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,21,Matters relating to the clean development mechanism: The CMP adopted a decision (FCCC/KP/CMP/2023/L.2).
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,22,Capacity building under the Kyoto Protocol: The CMP took note of the SBI 58 conclusions (contained in FCCC/SBI/2023/10 and Corr.1).
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,23,Report on the high-level ministerial round table on increased ambition of Kyoto Protocol commitments: Al Jaber noted parties could not reach consensus and the matter will be put on the provisional agenda of CMP 19.
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,24,"Administrative, financial, and institutional matters: The CMP adopted two decisions: one forwarded by SBI 58 contained in FCCC/SBI/2023/10/Add.1, and one decision forwarded by SBI 59 (FCCC/SBI/2023/L.14/Add.2), as amended orally during the SBI 59 closing plenary. The CMP also adopted a decision on the budget for the international transaction log (FCCC/SBI/2023/10/Add.1)."
Daily report for 11 December 2023,https://enb.iisd.org/united-arab-emirates-climate-change-conference-cop28-daily-report-11dec2023,True,25,CMA Plenary
